grad_out_shape,x_shape,w_shape,bias,stride,padding,dilation,transposed,output_padding,groups,output_mask,out_shape,shapes
"torch.Size([64, 2816, 7, 7])","torch.Size([64, 2816, 7, 7])","torch.Size([2816, 1, 7, 7])",[2816],"[1, 1]","[3, 3]","[1, 1]",False,"[0, 0]",2816,"[True, True, True]","(torch.Size([64, 2816, 7, 7]), torch.Size([2816, 1, 7, 7]), torch.Size([2816]))","[[torch.Size([64, 2816, 7, 7]), torch.Size([2816, 1, 7, 7]), torch.Size([64, 2816, 7, 7]), True], [[2816, 64, 7, 7], [2816, 64, 7, 7], [1, 2816, 7, 7], False]]"
"torch.Size([64, 2816, 7, 7])","torch.Size([64, 2816, 7, 7])","torch.Size([2816, 1, 7, 7])",[2816],"[1, 1]","[3, 3]","[1, 1]",False,"[0, 0]",2816,"[True, True, True]","(torch.Size([64, 2816, 7, 7]), torch.Size([2816, 1, 7, 7]), torch.Size([2816]))","[[torch.Size([64, 2816, 7, 7]), torch.Size([2816, 1, 7, 7]), torch.Size([64, 2816, 7, 7]), True], [[2816, 64, 7, 7], [2816, 64, 7, 7], [1, 2816, 7, 7], False]]"
"torch.Size([64, 2816, 7, 7])","torch.Size([64, 2816, 7, 7])","torch.Size([2816, 1, 7, 7])",[2816],"[1, 1]","[3, 3]","[1, 1]",False,"[0, 0]",2816,"[True, True, True]","(torch.Size([64, 2816, 7, 7]), torch.Size([2816, 1, 7, 7]), torch.Size([2816]))","[[torch.Size([64, 2816, 7, 7]), torch.Size([2816, 1, 7, 7]), torch.Size([64, 2816, 7, 7]), True], [[2816, 64, 7, 7], [2816, 64, 7, 7], [1, 2816, 7, 7], False]]"
"torch.Size([64, 2816, 7, 7])","torch.Size([64, 1408, 14, 14])","torch.Size([2816, 1408, 2, 2])",[2816],"[2, 2]","[0, 0]","[1, 1]",False,"[0, 0]",1,"[True, True, True]","(torch.Size([64, 1408, 14, 14]), torch.Size([2816, 1408, 2, 2]), torch.Size([2816]))","[[torch.Size([64, 2816, 7, 7]), torch.Size([2816, 1408, 2, 2]), torch.Size([64, 1408, 14, 14]), True], [[1408, 64, 14, 14], [2816, 64, 7, 7], [1408, 2816, 2, 2], False]]"
"torch.Size([64, 1408, 14, 14])","torch.Size([64, 1408, 14, 14])","torch.Size([1408, 1, 7, 7])",[1408],"[1, 1]","[3, 3]","[1, 1]",False,"[0, 0]",1408,"[True, True, True]","(torch.Size([64, 1408, 14, 14]), torch.Size([1408, 1, 7, 7]), torch.Size([1408]))","[[torch.Size([64, 1408, 14, 14]), torch.Size([1408, 1, 7, 7]), torch.Size([64, 1408, 14, 14]), True], [[1408, 64, 14, 14], [1408, 64, 14, 14], [1, 1408, 7, 7], False]]"
"torch.Size([64, 1408, 14, 14])","torch.Size([64, 1408, 14, 14])","torch.Size([1408, 1, 7, 7])",[1408],"[1, 1]","[3, 3]","[1, 1]",False,"[0, 0]",1408,"[True, True, True]","(torch.Size([64, 1408, 14, 14]), torch.Size([1408, 1, 7, 7]), torch.Size([1408]))","[[torch.Size([64, 1408, 14, 14]), torch.Size([1408, 1, 7, 7]), torch.Size([64, 1408, 14, 14]), True], [[1408, 64, 14, 14], [1408, 64, 14, 14], [1, 1408, 7, 7], False]]"
"torch.Size([64, 1408, 14, 14])","torch.Size([64, 1408, 14, 14])","torch.Size([1408, 1, 7, 7])",[1408],"[1, 1]","[3, 3]","[1, 1]",False,"[0, 0]",1408,"[True, True, True]","(torch.Size([64, 1408, 14, 14]), torch.Size([1408, 1, 7, 7]), torch.Size([1408]))","[[torch.Size([64, 1408, 14, 14]), torch.Size([1408, 1, 7, 7]), torch.Size([64, 1408, 14, 14]), True], [[1408, 64, 14, 14], [1408, 64, 14, 14], [1, 1408, 7, 7], False]]"
"torch.Size([64, 1408, 14, 14])","torch.Size([64, 1408, 14, 14])","torch.Size([1408, 1, 7, 7])",[1408],"[1, 1]","[3, 3]","[1, 1]",False,"[0, 0]",1408,"[True, True, True]","(torch.Size([64, 1408, 14, 14]), torch.Size([1408, 1, 7, 7]), torch.Size([1408]))","[[torch.Size([64, 1408, 14, 14]), torch.Size([1408, 1, 7, 7]), torch.Size([64, 1408, 14, 14]), True], [[1408, 64, 14, 14], [1408, 64, 14, 14], [1, 1408, 7, 7], False]]"
"torch.Size([64, 1408, 14, 14])","torch.Size([64, 1408, 14, 14])","torch.Size([1408, 1, 7, 7])",[1408],"[1, 1]","[3, 3]","[1, 1]",False,"[0, 0]",1408,"[True, True, True]","(torch.Size([64, 1408, 14, 14]), torch.Size([1408, 1, 7, 7]), torch.Size([1408]))","[[torch.Size([64, 1408, 14, 14]), torch.Size([1408, 1, 7, 7]), torch.Size([64, 1408, 14, 14]), True], [[1408, 64, 14, 14], [1408, 64, 14, 14], [1, 1408, 7, 7], False]]"
"torch.Size([64, 1408, 14, 14])","torch.Size([64, 1408, 14, 14])","torch.Size([1408, 1, 7, 7])",[1408],"[1, 1]","[3, 3]","[1, 1]",False,"[0, 0]",1408,"[True, True, True]","(torch.Size([64, 1408, 14, 14]), torch.Size([1408, 1, 7, 7]), torch.Size([1408]))","[[torch.Size([64, 1408, 14, 14]), torch.Size([1408, 1, 7, 7]), torch.Size([64, 1408, 14, 14]), True], [[1408, 64, 14, 14], [1408, 64, 14, 14], [1, 1408, 7, 7], False]]"
