batch_size,m,k,n
1,64,1000,2816
1,1000,64,2816
1,3136,2816,11264
1,2816,3136,11264
1,3136,11264,2816
1,11264,3136,2816
1,12544,1408,5632
1,1408,12544,5632
1,12544,5632,1408
1,5632,12544,1408
1,50176,704,2816
1,704,50176,2816
1,50176,2816,704
1,2816,50176,704
1,200704,352,1408
1,352,200704,1408
1,200704,1408,352
1,1408,200704,352
1,64,1000,1280
1,1000,64,1280
1,16448,1280,5120
1,1280,16448,5120
1,16448,5120,1280
1,5120,16448,1280
1,16448,1280,1280
1,1280,16448,1280
1,16448,3840,1280
1,3840,16448,1280
