model_name,batch_size,seq_length,image_size,precision,activation_checkpointing,estimation_type,predicted_time,time_for_estimation,actual_time,accuracy
hf_T5,4,1024,-1,HP,False,operator-level-learned-model,239.0173355818908,7406.083822250366,311.75853474934894,1.3043344073364753
hf_T5,6,512,-1,MP,False,operator-level-learned-model,154.08923234171186,7372.544527053833,201.7490234375,1.309299945048053
hf_T5,1,2048,-1,FP,True,operator-level-learned-model,564.1666839739966,7620.389461517334,624.9614461263021,1.1077602841133165
hf_T5,2,1024,-1,FP,True,operator-level-learned-model,430.1840593409765,7738.4138107299805,450.40480550130206,1.0470048708715587
hf_T5,1,2048,-1,HP,True,operator-level-learned-model,212.6475154422141,8019.470930099487,351.2830098470052,1.6519497494080273
hf_T5,1,2048,-1,HP,True,operator-level-learned-model,212.6475154422141,8019.470930099487,351.16624959309894,1.6514006705548678
hf_T5,1,2048,-1,HP,True,operator-level-learned-model,212.6475154422141,8054.62908744812,351.2830098470052,1.6519497494080273
hf_T5,1,2048,-1,HP,True,operator-level-learned-model,212.6475154422141,8054.62908744812,351.16624959309894,1.6514006705548678
hf_T5,1,2048,-1,MP,True,operator-level-learned-model,244.21518371251503,8096.214056015015,419.78307088216144,1.718906517198051
llama_v3_1b,4,1024,-1,FP,False,operator-level-learned-model,717.2370843603869,6840.885639190674,720.3073527018229,1.0042806882248343
llama_v3_1b,4,1024,-1,MP,False,operator-level-learned-model,126.34776685509472,6858.131408691406,155.61904907226562,1.2316723353784436
llama_v3_1b,8,2048,-1,FP,True,operator-level-learned-model,3236.3015255344912,6945.943832397461,3199.758138020833,0.9887082871526864
llama_v3_1b,1,16384,-1,HP,True,operator-level-learned-model,620.6065009293734,6994.235038757324,616.670654296875,0.9936580641250061
llama_v3_1b,4,2048,-1,FP,True,operator-level-learned-model,1631.4397558171818,6982.503414154053,1631.9474690755208,1.0003112056430699
llama_v3_1b,8,2048,-1,HP,True,operator-level-learned-model,433.2487958705056,6972.648859024048,444.2345581054688,1.0253567057535384
llama_v3_1b,4,2048,-1,HP,True,operator-level-learned-model,224.05217470359688,7096.626758575439,234.13575744628903,1.0450055115779704
llama_v3_1b,4,4096,-1,HP,True,operator-level-learned-model,459.6324242128709,7090.611696243286,458.82082112630206,0.9982342344799571
