m,k,n
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
64,1280,1000
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
64,1280,1000
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
64,1280,1000
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
16448,5120,1280
16448,1280,3840
16448,1280,1280
16448,1280,5120
