m,k,n
64,1000,1280
1000,64,1280
16448,1280,5120
1280,16448,5120
16448,5120,1280
5120,16448,1280
16448,1280,1280
1280,16448,1280
16448,3840,1280
3840,16448,1280
16448,1280,5120
1280,16448,5120
16448,5120,1280
5120,16448,1280
16448,1280,1280
1280,16448,1280
16448,3840,1280
3840,16448,1280
16448,1280,5120
1280,16448,5120
16448,5120,1280
5120,16448,1280
16448,1280,1280
1280,16448,1280
16448,3840,1280
3840,16448,1280
16448,1280,5120
1280,16448,5120
16448,5120,1280
5120,16448,1280
16448,1280,1280
1280,16448,1280
16448,3840,1280
3840,16448,1280
16448,1280,5120
1280,16448,5120
16448,5120,1280
5120,16448,1280
16448,1280,1280
1280,16448,1280
16448,3840,1280
3840,16448,1280
16448,1280,5120
1280,16448,5120
16448,5120,1280
5120,16448,1280
16448,1280,1280
1280,16448,1280
16448,3840,1280
3840,16448,1280
16448,1280,5120
1280,16448,5120
16448,5120,1280
5120,16448,1280
16448,1280,1280
1280,16448,1280
16448,3840,1280
3840,16448,1280
16448,1280,5120
1280,16448,5120
16448,5120,1280
5120,16448,1280
16448,1280,1280
1280,16448,1280
16448,3840,1280
3840,16448,1280
16448,1280,5120
1280,16448,5120
16448,5120,1280
5120,16448,1280
16448,1280,1280
1280,16448,1280
16448,3840,1280
3840,16448,1280
16448,1280,5120
1280,16448,5120
16448,5120,1280
5120,16448,1280
16448,1280,1280
1280,16448,1280
16448,3840,1280
3840,16448,1280
16448,1280,5120
1280,16448,5120
16448,5120,1280
5120,16448,1280
16448,1280,1280
1280,16448,1280
16448,3840,1280
3840,16448,1280
16448,1280,5120
1280,16448,5120
16448,5120,1280
5120,16448,1280
16448,1280,1280
1280,16448,1280
16448,3840,1280
3840,16448,1280
16448,1280,5120
1280,16448,5120
16448,5120,1280
5120,16448,1280
16448,1280,1280
1280,16448,1280
16448,3840,1280
3840,16448,1280
16448,1280,5120
1280,16448,5120
16448,5120,1280
5120,16448,1280
16448,1280,1280
1280,16448,1280
16448,3840,1280
3840,16448,1280
16448,1280,5120
1280,16448,5120
16448,5120,1280
5120,16448,1280
16448,1280,1280
1280,16448,1280
16448,3840,1280
3840,16448,1280
16448,1280,5120
1280,16448,5120
16448,5120,1280
5120,16448,1280
16448,1280,1280
1280,16448,1280
16448,3840,1280
3840,16448,1280
16448,1280,5120
1280,16448,5120
16448,5120,1280
5120,16448,1280
16448,1280,1280
1280,16448,1280
16448,3840,1280
3840,16448,1280
16448,1280,5120
1280,16448,5120
16448,5120,1280
5120,16448,1280
16448,1280,1280
1280,16448,1280
16448,3840,1280
3840,16448,1280
16448,1280,5120
1280,16448,5120
16448,5120,1280
5120,16448,1280
16448,1280,1280
1280,16448,1280
16448,3840,1280
3840,16448,1280
16448,1280,5120
1280,16448,5120
16448,5120,1280
5120,16448,1280
16448,1280,1280
1280,16448,1280
16448,3840,1280
3840,16448,1280
16448,1280,5120
1280,16448,5120
16448,5120,1280
5120,16448,1280
16448,1280,1280
1280,16448,1280
16448,3840,1280
3840,16448,1280
16448,1280,5120
1280,16448,5120
16448,5120,1280
5120,16448,1280
16448,1280,1280
1280,16448,1280
16448,3840,1280
3840,16448,1280
16448,1280,5120
1280,16448,5120
16448,5120,1280
5120,16448,1280
16448,1280,1280
1280,16448,1280
16448,3840,1280
3840,16448,1280
16448,1280,5120
1280,16448,5120
16448,5120,1280
5120,16448,1280
16448,1280,1280
1280,16448,1280
16448,3840,1280
3840,16448,1280
16448,1280,5120
1280,16448,5120
16448,5120,1280
5120,16448,1280
16448,1280,1280
1280,16448,1280
16448,3840,1280
3840,16448,1280
16448,1280,5120
1280,16448,5120
16448,5120,1280
5120,16448,1280
16448,1280,1280
1280,16448,1280
16448,3840,1280
3840,16448,1280
16448,1280,5120
1280,16448,5120
16448,5120,1280
5120,16448,1280
16448,1280,1280
1280,16448,1280
16448,3840,1280
3840,16448,1280
16448,1280,5120
1280,16448,5120
16448,5120,1280
5120,16448,1280
16448,1280,1280
1280,16448,1280
16448,3840,1280
3840,16448,1280
16448,1280,5120
1280,16448,5120
16448,5120,1280
5120,16448,1280
16448,1280,1280
1280,16448,1280
16448,3840,1280
3840,16448,1280
16448,1280,5120
1280,16448,5120
16448,5120,1280
5120,16448,1280
16448,1280,1280
1280,16448,1280
16448,3840,1280
3840,16448,1280
16448,1280,5120
1280,16448,5120
16448,5120,1280
5120,16448,1280
16448,1280,1280
1280,16448,1280
