query_shape,key_shape,value_shape,shapes,out_shape
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","[[1024, 257, 80, 257], [1024, 257, 257, 80]]","(torch.Size([64, 16, 257, 80]), torch.Size([64, 16, 257]), None, None, 257, 257, torch.Size([]), torch.Size([]), torch.Size([0]))"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","[[1024, 257, 80, 257], [1024, 257, 257, 80]]","(torch.Size([64, 16, 257, 80]), torch.Size([64, 16, 257]), None, None, 257, 257, torch.Size([]), torch.Size([]), torch.Size([0]))"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","[[1024, 257, 80, 257], [1024, 257, 257, 80]]","(torch.Size([64, 16, 257, 80]), torch.Size([64, 16, 257]), None, None, 257, 257, torch.Size([]), torch.Size([]), torch.Size([0]))"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","[[1024, 257, 80, 257], [1024, 257, 257, 80]]","(torch.Size([64, 16, 257, 80]), torch.Size([64, 16, 257]), None, None, 257, 257, torch.Size([]), torch.Size([]), torch.Size([0]))"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","[[1024, 257, 80, 257], [1024, 257, 257, 80]]","(torch.Size([64, 16, 257, 80]), torch.Size([64, 16, 257]), None, None, 257, 257, torch.Size([]), torch.Size([]), torch.Size([0]))"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","[[1024, 257, 80, 257], [1024, 257, 257, 80]]","(torch.Size([64, 16, 257, 80]), torch.Size([64, 16, 257]), None, None, 257, 257, torch.Size([]), torch.Size([]), torch.Size([0]))"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","[[1024, 257, 80, 257], [1024, 257, 257, 80]]","(torch.Size([64, 16, 257, 80]), torch.Size([64, 16, 257]), None, None, 257, 257, torch.Size([]), torch.Size([]), torch.Size([0]))"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","[[1024, 257, 80, 257], [1024, 257, 257, 80]]","(torch.Size([64, 16, 257, 80]), torch.Size([64, 16, 257]), None, None, 257, 257, torch.Size([]), torch.Size([]), torch.Size([0]))"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","[[1024, 257, 80, 257], [1024, 257, 257, 80]]","(torch.Size([64, 16, 257, 80]), torch.Size([64, 16, 257]), None, None, 257, 257, torch.Size([]), torch.Size([]), torch.Size([0]))"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","[[1024, 257, 80, 257], [1024, 257, 257, 80]]","(torch.Size([64, 16, 257, 80]), torch.Size([64, 16, 257]), None, None, 257, 257, torch.Size([]), torch.Size([]), torch.Size([0]))"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","[[1024, 257, 80, 257], [1024, 257, 257, 80]]","(torch.Size([64, 16, 257, 80]), torch.Size([64, 16, 257]), None, None, 257, 257, torch.Size([]), torch.Size([]), torch.Size([0]))"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","[[1024, 257, 80, 257], [1024, 257, 257, 80]]","(torch.Size([64, 16, 257, 80]), torch.Size([64, 16, 257]), None, None, 257, 257, torch.Size([]), torch.Size([]), torch.Size([0]))"
"torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","torch.Size([64, 16, 257, 80])","[[1024, 257, 80, 257], [1024, 257, 257, 80]]","(torch.Size([64, 16, 257, 80]), torch.Size([64, 16, 257]), None, None, 257, 257, torch.Size([]), torch.Size([]), torch.Size([0]))"
